Код основного товара,Группа,Ед.изм.,Поставщик,Описание товара,Характеристика:цвет,Характеристика:размер,Наименование модификации,Код модификации,Штрихкод по умолчанию,Остаток,Цена продажи,Наименование основного товара,Артикул,material,uteplitel,podkladka,siluet,dlina_izdeliya,rukav,dlina_rukava,zastezhka,kapushon,vorotnik,poyas,karmany,koketka,uhod
"25566","Женские пальто","шт","","Пальто классического фасона, но необычной расцветки с клетчатым принтом может стать вашим любимым предметом гардероба, ведь клетка способна творить чудеса: корректировать фигуру выгодным для нас способом, нужно лишь найти свой вариант клетки. Мелкая клетка визуально уберет лишние сантиметры, а крупная — прибавит недостающие.","","","","25566","","0","0","Пальто: К473-10К","К473-10К","65% Шерсть / 35% Полиэстер","Нет","50% Вискоза / 50% Полиэстер","Бойфренд","110см","Вточной","1/1 (63см)","Нет","Нет","Английский","Есть","Есть","Нет","Химчистка"
"25566","Женские пальто","шт","","","Бежевая клетка","42","Пальто: К473-10К (Бежевая клетка, 42)","02842","2000000102641","1","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка серо-морковное","46","Пальто: К473-10К (Клетка серо-морковное, 46)","03016","2000000104706","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка серо-морковное","48","Пальто: К473-10К (Клетка серо-морковное, 48)","03017","2000000104713","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка серо-бежевая","40","Пальто: К473-10К (Клетка серо-бежевая, 40)","03246","2000000107417","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка серо-бежевая","42","Пальто: К473-10К (Клетка серо-бежевая, 42)","03247","2000000107424","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка серо-бежевая","44","Пальто: К473-10К (Клетка серо-бежевая, 44)","03249","2000000107448","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка серо-бежевая","48","Пальто: К473-10К (Клетка серо-бежевая, 48)","03251","2000000107462","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка черно -бежевая","42","Пальто: К473-10К (Клетка черно -бежевая, 42)","03242","2000000107370","1","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка черно -бежевая","44","Пальто: К473-10К (Клетка черно -бежевая, 44)","03243","2000000107387","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка черно -бежевая","46","Пальто: К473-10К (Клетка черно -бежевая, 46)","03250","2000000107455","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка черно -бежевая","48","Пальто: К473-10К (Клетка черно -бежевая, 48)","03245","2000000107400","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка серо-белое","40","Пальто: К473-10К (Клетка серо-белое, 40)","03018","2000000104720","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка черно -бежевая","40","Пальто: К473-10К (Клетка черно -бежевая, 40)","03241","2000000107363","1","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка серо-морковное","50","Пальто: К473-10К (Клетка серо-морковное, 50)","03172","2000000106588","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка серо-белое","42","Пальто: К473-10К (Клетка серо-белое, 42)","03019","2000000104737","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Бежевая клетка","40","Пальто: К473-10К (Бежевая клетка, 40)","02918","2000000103518","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Бежевая клетка","44","Пальто: К473-10К (Бежевая клетка, 44)","02919","2000000103525","1","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Бежевая клетка","46","Пальто: К473-10К (Бежевая клетка, 46)","02920","2000000103532","1","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Бежевая клетка","48","Пальто: К473-10К (Бежевая клетка, 48)","02921","2000000103549","1","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Темно бежевая клетка","40","Пальто: К473-10К (Темно бежевая клетка, 40)","02922","2000000103556","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Темно бежевая клетка","42","Пальто: К473-10К (Темно бежевая клетка, 42)","02923","2000000103563","1","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Темно бежевая клетка","44","Пальто: К473-10К (Темно бежевая клетка, 44)","02924","2000000103570","1","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Темно бежевая клетка","46","Пальто: К473-10К (Темно бежевая клетка, 46)","02925","2000000103587","1","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Темно бежевая клетка","48","Пальто: К473-10К (Темно бежевая клетка, 48)","02926","2000000103594","1","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка серо-морковное","42","Пальто: К473-10К (Клетка серо-морковное, 42)","03013","2000000104676","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка серо-белое","44","Пальто: К473-10К (Клетка серо-белое, 44)","03020","2000000104744","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка серо-морковное","44","Пальто: К473-10К (Клетка серо-морковное, 44)","03014","2000000104683","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка серо-бежевая","46","Пальто: К473-10К (Клетка серо-бежевая, 46)","03252","2000000107479","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка серо-белое","46","Пальто: К473-10К (Клетка серо-белое, 46)","03021","2000000104751","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка серо-белое","48","Пальто: К473-10К (Клетка серо-белое, 48)","03022","2000000104768","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка серо-морковное","40","Пальто: К473-10К (Клетка серо-морковное, 40)","03171","2000000106571","1","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25566","Женские пальто","шт","","","Клетка серо-белое","50","Пальто: К473-10К (Клетка серо-белое, 50)","03239","2000000107349","0","9000","Пальто: К473-10К","К473-10К","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","Декорированное отделочной строчкой удлиненное пальто придаст особый шарм своей обладательнице, а полуприлегающий силуэт обозначит Ваши достоинства. Поистине изысканное пальто для романтичных особ!","","","","25597","","0","0","Пальто: К360","К360","60% Шерсть / 40% Полиэстер","Нет","50% Вискоза / 50% Полиэстер","Приталенный","90см","Вточной","1/1 (63см)","Пуговицы","Нет","Английский","Есть","Есть","Нет","Химчистка"
"25597","Женские пальто","шт","","Наиболее выигрышные сочетания: светловато-зеленый, базальтово-серый, бирюзово-зеленый, миндальный, терракотовый, серовато-розовый, винный, различные оттенки голубого, светлая сирень, фисташковый, темно-синий, морковно-красный, кирпичный. 
Такой оттенок особенно подойдет обладательницам цветотипов «весна» или «осень». <a href="/kak-opredelit-svoj-tsvetotip/" style="color: #00AA5B">Как определить свой цветотип?</a>","Бежевый 143073","42","Пальто: К360 (Бежевый 143073, 42)","03089","2000000105482","1","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","Наиболее выигрышные сочетания: светловато-зеленый, базальтово-серый, бирюзово-зеленый, миндальный, терракотовый, серовато-розовый, винный, различные оттенки голубого, светлая сирень, фисташковый, темно-синий, морковно-красный, кирпичный. 
Такой оттенок особенно подойдет обладательницам цветотипов «весна» или «осень».  <a href="/kak-opredelit-svoj-tsvetotip/" style="color: #00AA5B">Как определить свой цветотип?</a>","Бежевый 143073","44","Пальто: К360 (Бежевый 143073, 44)","03090","2000000105499","3","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","Наиболее выигрышные сочетания: светловато-зеленый, базальтово-серый, бирюзово-зеленый, миндальный, терракотовый, серовато-розовый, винный, различные оттенки голубого, светлая сирень, фисташковый, темно-синий, морковно-красный, кирпичный. 
Такой оттенок особенно подойдет обладательницам цветотипов «весна» или «осень». <a href="/kak-opredelit-svoj-tsvetotip/" style="color: #00AA5B">Как определить свой цветотип?</a>","Бежевый 143073","46","Пальто: К360 (Бежевый 143073, 46)","03091","2000000105505","1","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","Наиболее выигрышные сочетания: светловато-зеленый, базальтово-серый, бирюзово-зеленый, миндальный, терракотовый, серовато-розовый, винный, различные оттенки голубого, светлая сирень, фисташковый, темно-синий, морковно-красный, кирпичный. 
Такой оттенок особенно подойдет обладательницам цветотипов «весна» или «осень». <a href="/kak-opredelit-svoj-tsvetotip/" style="color: #00AA5B">Как определить свой цветотип?</a>","Бежевый 143073","48","Пальто: К360 (Бежевый 143073, 48)","03092","2000000105512","0","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","Наиболее выигрышные сочетания: светловато-зеленый, базальтово-серый, бирюзово-зеленый, миндальный, терракотовый, серовато-розовый, винный, различные оттенки голубого, светлая сирень, фисташковый, темно-синий, морковно-красный, кирпичный. 
Такой оттенок особенно подойдет обладательницам цветотипов «весна» или «осень». <a href="/kak-opredelit-svoj-tsvetotip/" style="color: #00AA5B">Как определить свой цветотип?</a>","Бежевый 143073","50","Пальто: К360 (Бежевый 143073, 50)","03093","2000000105529","0","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","","Т. розовый 144140","42","Пальто: К360 (Т. розовый 144140, 42)","03094","2000000105536","1","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","","Т. розовый 144140","44","Пальто: К360 (Т. розовый 144140, 44)","03095","2000000105543","0","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","","Т. розовый 144140","46","Пальто: К360 (Т. розовый 144140, 46)","03096","2000000105550","0","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","","Т. розовый 144140","48","Пальто: К360 (Т. розовый 144140, 48)","03097","2000000105567","0","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","","Т. розовый 144140","50","Пальто: К360 (Т. розовый 144140, 50)","0309811","2000000105574","1","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","","Марсала 144603","42","Пальто: К360 (Марсала 144603, 42)","0005342","2000000131313","0","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","","Марсала 144603","44","Пальто: К360 (Марсала 144603, 44)","0005343","2000000131320","3","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","","Хаки 146437","42","Пальто: К360 (Хаки 146437, 42)","0005344","2000000131337","3","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","","Хаки 146437","44","Пальто: К360 (Хаки 146437, 44)","0005345","2000000131344","3","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","Черный — универсальный цвет, который можно сочетать практически со всем. Наиболее выигрышно будет смотреться с насыщенными оттенками (красный, фиолетовый, зеленый, желтый, синий и др), а если вы предпочитаете неинтенсивные, более бледные тона, присмотритесь к серому пальто. Выбирая аксессуары, подбирайте их между собой: они не должны быть одного тона (теперь это моветон), выбирайте сочетающиеся между собой или близкие друг другу оттенки. <a href="/kak-opredelit-svoj-tsvetotip/" style="color: #00AA5B">Как определить свой цветотип?</a>","Черный","42","Пальто: К360 (Черный, 42)","03177","2000000106632","3","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","Черный — универсальный цвет, который можно сочетать практически со всем. Наиболее выигрышно будет смотреться с насыщенными оттенками (красный, фиолетовый, зеленый, желтый, синий и др), а если вы предпочитаете неинтенсивные, более бледные тона, присмотритесь к серому пальто. Выбирая аксессуары, подбирайте их между собой: они не должны быть одного тона (теперь это моветон), выбирайте сочетающиеся между собой или близкие друг другу оттенки. <a href="/kak-opredelit-svoj-tsvetotip/" style="color: #00AA5B">Как определить свой цветотип?</a>","Черный","44","Пальто: К360 (Черный, 44)","03178","2000000106649","3","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","Черный — универсальный цвет, который можно сочетать практически со всем. Наиболее выигрышно будет смотреться с насыщенными оттенками (красный, фиолетовый, зеленый, желтый, синий и др), а если вы предпочитаете неинтенсивные, более бледные тона, присмотритесь к серому пальто. Выбирая аксессуары, подбирайте их между собой: они не должны быть одного тона (теперь это моветон), выбирайте сочетающиеся между собой или близкие друг другу оттенки. <a href="/kak-opredelit-svoj-tsvetotip/" style="color: #00AA5B">Как определить свой цветотип?</a>","Черный","46","Пальто: К360 (Черный, 46)","03179","2000000106656","0","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","Черный — универсальный цвет, который можно сочетать практически со всем. Наиболее выигрышно будет смотреться с насыщенными оттенками (красный, фиолетовый, зеленый, желтый, синий и др), а если вы предпочитаете неинтенсивные, более бледные тона, присмотритесь к серому пальто. Выбирая аксессуары, подбирайте их между собой: они не должны быть одного тона (теперь это моветон), выбирайте сочетающиеся между собой или близкие друг другу оттенки. <a href="/kak-opredelit-svoj-tsvetotip/" style="color: #00AA5B">Как определить свой цветотип?</a>","Черный","48","Пальто: К360 (Черный, 48)","03180","2000000106663","0","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25597","Женские пальто","шт","","Черный — универсальный цвет, который можно сочетать практически со всем. Наиболее выигрышно будет смотреться с насыщенными оттенками (красный, фиолетовый, зеленый, желтый, синий и др), а если вы предпочитаете неинтенсивные, более бледные тона, присмотритесь к серому пальто. Выбирая аксессуары, подбирайте их между собой: они не должны быть одного тона (теперь это моветон), выбирайте сочетающиеся между собой или близкие друг другу оттенки.<a href="/kak-opredelit-svoj-tsvetotip/" style="color: #00AA5B">Как определить свой цветотип?</a>","Черный","50","Пальто: К360 (Черный, 50)","03181","2000000106670","0","7500","Пальто: К360","К360","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","","","","25920","","0","0","Пальто: К558-32","К558-32","60% Шерсть / 40% Полиэстер","50% Вискоза / 50% Полиэстер","50% Вискоза / 50% Полиэстер","Бойфренд","115см","Реглан","1/1 (63см)","Пуговицы","Нет","Английский","Есть","Есть","Нет","Химчистка"
"25920","Женские пальто","шт","","","Красный 144493","38","Пальто: К558-32 (Красный 144493, 38)","0005499","2000000133140","5","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Красный 144493","40","Пальто: К558-32 (Красный 144493, 40)","0005500","2000000133157","4","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Красный 144493","42","Пальто: К558-32 (Красный 144493, 42)","0005501","2000000133164","3","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Красный 144493","44","Пальто: К558-32 (Красный 144493, 44)","0005502","2000000133171","1","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Красный 144493","46","Пальто: К558-32 (Красный 144493, 46)","0005503","2000000133188","2","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Марсала 144603","38","Пальто: К558-32 (Марсала 144603, 38)","0005504","2000000133195","4","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Марсала 144603","40","Пальто: К558-32 (Марсала 144603, 40)","0005505","2000000133201","2","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Марсала 144603","42","Пальто: К558-32 (Марсала 144603, 42)","0005506","2000000133218","1","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Марсала 144603","44","Пальто: К558-32 (Марсала 144603, 44)","0005507","2000000133225","0","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Марсала 144603","46","Пальто: К558-32 (Марсала 144603, 46)","0005508","2000000133232","1","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Хаки 146437","38","Пальто: К558-32 (Хаки 146437, 38)","0005509","2000000133249","4","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Хаки 146437","40","Пальто: К558-32 (Хаки 146437, 40)","0005510","2000000133256","3","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Хаки 146437","42","Пальто: К558-32 (Хаки 146437, 42)","0005511","2000000133263","1","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Хаки 146437","44","Пальто: К558-32 (Хаки 146437, 44)","0005512","2000000133270","0","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Хаки 146437","46","Пальто: К558-32 (Хаки 146437, 46)","0005513","2000000133287","1","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Черный","38","Пальто: К558-32 (Черный, 38)","0005514","2000000133294","4","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Черный","40","Пальто: К558-32 (Черный, 40)","0005515","2000000133300","4","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Черный","42","Пальто: К558-32 (Черный, 42)","0005516","2000000133317","5","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Черный","44","Пальто: К558-32 (Черный, 44)","0005517","2000000133324","0","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25920","Женские пальто","шт","","","Черный","46","Пальто: К558-32 (Черный, 46)","0005518","2000000133331","1","9900","Пальто: К558-32","К558-32","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","","","","25896","","0","0","Пальто: К473-31","К473-31","60% Шерсть / 40% Полиэстер","50% Вискоза / 50% Полиэстер","50% Вискоза / 50% Полиэстер","Бойфренд","90см","Вточной","1/1 (63см)","Пуговицы","Нет","Английский","Есть","Есть","Нет","Химчистка"
"25896","Женские пальто","шт","","","Бежевый 143073","38","Пальто: К473-31 (Бежевый 143073, 38)","0005307","2000000130958","3","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Бежевый 143073","40","Пальто: К473-31 (Бежевый 143073, 40)","0005308","2000000130965","4","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Бежевый 143073","42","Пальто: К473-31 (Бежевый 143073, 42)","0005309","2000000130972","0","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Бежевый 143073","44","Пальто: К473-31 (Бежевый 143073, 44)","0005310","2000000130989","1","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Бежевый 143073","46","Пальто: К473-31 (Бежевый 143073, 46)","0005311","2000000130996","2","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Марсала 144603","38","Пальто: К473-31 (Марсала 144603, 38)","0005312","2000000131009","0","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Марсала 144603","40","Пальто: К473-31 (Марсала 144603, 40)","0005313","2000000131016","0","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Марсала 144603","42","Пальто: К473-31 (Марсала 144603, 42)","0005314","2000000131023","0","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Марсала 144603","44","Пальто: К473-31 (Марсала 144603, 44)","0005315","2000000131030","0","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Марсала 144603","46","Пальто: К473-31 (Марсала 144603, 46)","0005316","2000000131047","0","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Темно бежевый 142730","38","Пальто: К473-31 (Темно бежевый 142730, 38)","0005317","2000000131054","1","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Темно бежевый 142730","40","Пальто: К473-31 (Темно бежевый 142730, 40)","0005318","2000000131061","2","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Темно бежевый 142730","42","Пальто: К473-31 (Темно бежевый 142730, 42)","0005319","2000000131078","0","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Темно бежевый 142730","44","Пальто: К473-31 (Темно бежевый 142730, 44)","0005320","2000000131085","1","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Темно бежевый 142730","46","Пальто: К473-31 (Темно бежевый 142730, 46)","0005321","2000000131092","2","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Темно серый 148145","38","Пальто: К473-31 (Темно серый 148145, 38)","0005322","2000000131108","0","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Темно серый 148145","40","Пальто: К473-31 (Темно серый 148145, 40)","0005323","2000000131115","3","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Темно серый 148145","42","Пальто: К473-31 (Темно серый 148145, 42)","0005324","2000000131122","1","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Темно серый 148145","44","Пальто: К473-31 (Темно серый 148145, 44)","0005325","2000000131139","0","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25896","Женские пальто","шт","","","Темно серый 148145","46","Пальто: К473-31 (Темно серый 148145, 46)","0005326","2000000131146","2","9500","Пальто: К473-31","К473-31","","","","","","","","","","","","","",""
"25895","Женские пальто","шт","","","","","","25895","","0","0","Пальто: К551","К551","60% Шерсть / 40% Полиэстер","Нет","50% Вискоза / 50% Полиэстер","Бойфренд","90см","Вточной","1/1 (63см)","Пуговицы","Нет","Стойка","Есть","Есть","Нет","Химчистка"
"25895","Женские пальто","шт","","","Графит 148615C","38","Пальто: К551 (Графит 148615C, 38)","0005279","2000000130668","1","8600","Пальто: К551","К551","","","","","","","","","","","","","",""
"25895","Женские пальто","шт","","","Графит 148615C","40","Пальто: К551 (Графит 148615C, 40)","0005280","2000000130675","2","8600","Пальто: К551","К551","","","","","","","","","","","","","",""
"25895","Женские пальто","шт","","","Графит 148615C","42","Пальто: К551 (Графит 148615C, 42)","0005281","2000000130682","2","8600","Пальто: К551","К551","","","","","","","","","","","","","",""
"25895","Женские пальто","шт","","","Графит 148615C","44","Пальто: К551 (Графит 148615C, 44)","0005282","2000000130699","2","8600","Пальто: К551","К551","","","","","","","","","","","","","",""
"25895","Женские пальто","шт","","","Графит 148615C","46","Пальто: К551 (Графит 148615C, 46)","0005283","2000000130705","2","8600","Пальто: К551","К551","","","","","","","","","","","","","",""
"25895","Женские пальто","шт","","","Графит 148615C","48","Пальто: К551 (Графит 148615C, 48)","0005284","2000000130712","2","8600","Пальто: К551","К551","","","","","","","","","","","","","",""
"25895","Женские пальто","шт","","","Графит 148615C","50","Пальто: К551 (Графит 148615C, 50)","0005285","2000000130729","1","8600","Пальто: К551","К551","","","","","","","","","","","","","",""
"25895","Женские пальто","шт","","","Марсала 144603","38","Пальто: К551 (Марсала 144603, 38)","0005286","2000000130736","1","8600","Пальто: К551","К551","","","","","","","","","","","","","",""
"25895","Женские пальто","шт","","","Марсала 144603","40","Пальто: К551 (Марсала 144603, 40)","0005287","2000000130743","2","8600","Пальто: К551","К551","","","","","","","","","","","","","",""
"25895","Женские пальто","шт","","","Марсала 144603","42","Пальто: К551 (Марсала 144603, 42)","0005288","2000000130750","0","8600","Пальто: К551","К551","","","","","","","","","","","","","",""
